x,y,z,vx,vy,vz
-2.5132478151856E-05,3.37750476154645E-06,-7.27851557240146E-06,-0.000494791908675177,-0.00013503267241599,-0.00165501708001384
-2.54601822657868E-05,3.2816242025007E-06,-8.4230097574629E-06,-0.000449437412593248,-0.000141003678848672,-0.00164095152313029
-2.57572934668385E-05,3.18179859500192E-06,-9.55739700556535E-06,-0.000406660559984804,-0.000146403118848581,-0.00162594356919331
-2.60255522472102E-05,3.07840718214426E-06,-1.068109117366E-05,-0.000366318721076249,-0.00015128124176053,-0.00161018499888837
-2.62666004314423E-05,2.97179568853681E-06,-1.17936294721937E-05,-0.000328270764801626,-0.000155684342094906,-0.00159383989014807
-2.64819829712378E-05,2.86227903284318E-06,-1.28946544581915E-05,-0.000292379115022289,-0.000159654872508788,-0.00157704812978306
-2.66731509395547E-05,2.75014393617916E-06,-1.39838983631441E-05,-0.00025851116802683,-0.000163231623104015,-0.00155992859438811
-2.68414653297542E-05,2.63565139110507E-06,-1.50611695091005E-05,-0.000226540217712831,-0.000166449940571679,-0.00154258199192386
-2.69882013610842E-05,2.51903897037982E-06,-1.61263405820356E-05,-0.000196346006543292,-0.00016934196800723,-0.0015250933733462
-2.71145530644981E-05,2.40052296631771E-06,-1.71793385383258E-05,-0.000167814996546461,-0.000171936891805877,-0.00150753433458059
-2.72216379822058E-05,2.28030035833863E-06,-1.82201359465304E-05,-0.000140840434308348,-0.000174261186307687,-0.0014899649347199
-2.731050185718E-05,2.15855061400005E-06,-1.92487435644708E-05,-0.000115322268043131,-0.00017633884996594,-0.00147243535901949
-2.7382123227254E-05,2.03543732977705E-06,-2.02652039940238E-05,-9.11669609157605E-05,-0.000178191629184727,-0.00145498735502666
-2.74374178635515E-05,1.91110972149199E-06,-2.12695862613215E-05,-6.82872346132116E-05,-0.000179839227600267,-0.00143765546920242
-2.74772430143153E-05,1.78570397450769E-06,-2.22619811960828E-05,-4.66017686231559E-05,-0.000181299499775278,-0.00142046810929084
-2.75024014299888E-05,1.65934446547155E-06,-2.32424974904147E-05,-2.60348743993744E-05,-0.000182588629072035,-0.00140344845552606
-2.75136451576525E-05,1.53214486538201E-06,-2.42112583484046E-05,-6.51615818884756E-06,-0.0001837212900398,-0.00138661524104263
-2.75116791003212E-05,1.40420913536117E-06,-2.51683986353295E-05,1.20198172201733E-05,-0.000184710795975902,-0.00136998341972489
-2.74971643431116E-05,1.27563242479398E-06,-2.61140624566529E-05,2.9633864749936E-05,-0.00018556923254539,-0.00135356473730428
