x,y,z,vx,vy,vz
5.072085611048910E-03,2.725995185373658E-01,1.446003878948054E-01,-3.344983309664331E-02,7.217112720004959E-04,2.895141199366196E-03
5.048858018218723E-03,2.726000179073959E-01,1.446024011159386E-01,-3.344573235610301E-02,7.165753563393831E-04,2.902777586169091E-03
5.025633224829915E-03,2.726005137251101E-01,1.446044196020668E-01,-3.344176735283391E-02,7.114797140206504E-04,2.910306747648633E-03
5.002411138424132E-03,2.726010060181605E-01,1.446064432795631E-01,-3.343793302672101E-02,7.064234559775888E-04,2.917731036217783E-03
4.979191669970489E-03,2.726014948135893E-01,1.446084720764139E-01,-3.343422455988729E-02,7.014057151407390E-04,2.925052746941748E-03
4.955974733702328E-03,2.726019801378444E-01,1.446105059221794E-01,-3.343063736285664E-02,6.964256461311346E-04,2.932274118276764E-03
4.932760246963245E-03,2.726024620167942E-01,1.446125447479544E-01,-3.342716706148526E-02,6.914824249003477E-04,2.939397332928572E-03
4.909548130061908E-03,2.726029404757424E-01,1.446145884863301E-01,-3.342380948486752E-02,6.865752483533613E-04,2.946424518786176E-03
4.886338306134952E-03,2.726034155394420E-01,1.446166370713563E-01,-3.342056065398534E-02,6.817033339423926E-04,2.953357749929752E-03
4.863130701017558E-03,2.726038872321100E-01,1.446186904385043E-01,-3.341741677103451E-02,6.768659192353394E-04,2.960199047699963E-03
4.839925243121111E-03,2.726043555774406E-01,1.446207485246310E-01,-3.341437420960659E-02,6.720622614914004E-04,2.966950381789465E-03
4.816721863317549E-03,2.726048205986193E-01,1.446228112679431E-01,-3.341142950523708E-02,6.672916371939067E-04,2.973613671397402E-03
4.793520494829975E-03,2.726052823183358E-01,1.446248786079626E-01,-3.340857934683919E-02,6.625533416143842E-04,2.980190786368906E-03
4.770321073129082E-03,2.726057407587968E-01,1.446269504854928E-01,-3.340582056843217E-02,6.578466883406283E-04,2.986683548380373E-03
4.747123535835125E-03,2.726061959417386E-01,1.446290268425855E-01,-3.340315014152902E-02,6.531710088237541E-04,2.993093732111626E-03
4.723927822624990E-03,2.726066478884397E-01,1.446311076225085E-01,-3.340056516794488E-02,6.485256519193921E-04,2.999423066425969E-03
4.700733875144149E-03,2.726070966197321E-01,1.446331927697146E-01,-3.339806287301030E-02,6.439099834266837E-04,3.005673235551425E-03
4.677541636923116E-03,2.726075421560135E-01,1.446352822298106E-01,-3.339564059927041E-02,6.393233856426147E-04,3.011845880242399E-03
4.654351053298215E-03,2.726079845172583E-01,1.446373759495275E-01,-3.339329580046830E-02,6.347652569074749E-04,3.017942598944556E-03
4.631162071336324E-03,2.726084237230284E-01,1.446394738766921E-01,-3.339102603601235E-02,6.302350111766557E-04,3.023964948924357E-03
4.607974639763422E-03,2.726088597924843E-01,1.446415759601982E-01,-3.338882896559188E-02,6.257320775709357E-04,3.029914447411789E-03
4.584788708896691E-03,2.726092927443954E-01,1.446436821499792E-01,-3.338670234430599E-02,6.212558999674894E-04,3.035792572689691E-03
4.561604230579949E-03,2.726097225971498E-01,1.446457923969821E-01,-3.338464401790801E-02,6.168059365713105E-04,3.041600765192000E-03
4.538421158122272E-03,2.726101493687643E-01,1.446479066531408E-01,-3.338265191842434E-02,6.123816595129449E-04,3.047340428561807E-03
4.515239446239556E-03,2.726105730768941E-01,1.446500248713512E-01,-3.338072405998983E-02,6.079825544496233E-04,3.053012930692661E-03
4.492059050998922E-03,2.726109937388418E-01,1.446521470054471E-01,-3.337885853488807E-02,6.036081201703974E-04,3.058619604751980E-03
4.468879929765741E-03,2.726114113715663E-01,1.446542730101759E-01,-3.337705350990158E-02,5.992578682270570E-04,3.064161750163289E-03
4.445702041153181E-03,2.726118259916920E-01,1.446564028411758E-01,-3.337530722272965E-02,5.949313225494732E-04,3.069640633590458E-03
4.422525344974108E-03,2.726122376155167E-01,1.446585364549532E-01,-3.337361797876179E-02,5.906280191007963E-04,3.075057489865639E-03
4.399349802195226E-03,2.726126462590204E-01,1.446606738088612E-01,-3.337198414786791E-02,5.863475055114826E-04,3.080413522924698E-03
4.376175374893330E-03,2.726130519378726E-01,1.446628148610783E-01,-3.337040416151010E-02,5.820893407520972E-04,3.085709906687558E-03
4.353002026213546E-03,2.726134546674407E-01,1.446649595705878E-01,-3.336887650989163E-02,5.778530947920395E-04,3.090947785938520E-03
4.329829720594347E-03,2.726138544619865E-01,1.446671078981532E-01,-3.336739975307524E-02,5.736383541387203E-04,3.096128261530195E-03
4.306658422660607E-03,2.726142513379205E-01,1.446692598023070E-01,-3.336597246311697E-02,5.694446979892509E-04,3.101252454047077E-03
4.283488098804912E-03,2.726146453089324E-01,1.446714152453362E-01,-3.336459330527826E-02,5.652717333961317E-04,3.106321409894095E-03
4.260318716064575E-03,2.726150363892531E-01,1.446735741892498E-01,-3.336326097966083E-02,5.611190712146969E-04,3.111336165513083E-03
4.237150242362947E-03,2.726154245928467E-01,1.446757365967679E-01,-3.336197423317618E-02,5.569863317819500E-04,3.116297732200605E-03
4.213982646477618E-03,2.726158099334170E-01,1.446779024313039E-01,-3.336073185755604E-02,5.528731446483985E-04,3.121207096828354E-03
4.190815898009992E-03,2.726161924244137E-01,1.446800716569485E-01,-3.335953268737421E-02,5.487791482980758E-04,3.126065222561672E-03
4.167649967356178E-03,2.726165720790384E-01,1.446822442384527E-01,-3.335837559827402E-02,5.447039899009973E-04,3.130873049532755E-03
4.144484825679095E-03,2.726169489102507E-01,1.446844201412126E-01,-3.335725950517771E-02,5.406473250488843E-04,3.135631495517143E-03
4.121320444881780E-03,2.726173229307741E-01,1.446865993312540E-01,-3.335618336068430E-02,5.366088175220648E-04,3.140341456567116E-03
4.098156797581782E-03,2.726176941531013E-01,1.446887817752174E-01,-3.335514615346678E-02,5.325881390450151E-04,3.145003807643496E-03
4.074993857086647E-03,2.726180625894998E-01,1.446909674403435E-01,-3.335414690679680E-02,5.285849690611282E-04,3.149619403216782E-03
4.051831597370388E-03,2.726184282520171E-01,1.446931562944595E-01,-3.335318467712525E-02,5.245989945107669E-04,3.154189077853202E-03
4.028669993050940E-03,2.726187911524860E-01,1.446953483059653E-01,-3.335225855271656E-02,5.206299096126530E-04,3.158713646785849E-03
4.005509019368509E-03,2.726191513025293E-01,1.446975434438200E-01,-3.335136765239194E-02,5.166774156629548E-04,3.163193906458031E-03
3.982348652164803E-03,2.726195087135651E-01,1.446997416775297E-01,-3.335051112426563E-02,5.127412208239237E-04,3.167630635064914E-03
3.959188867863095E-03,2.726198633968108E-01,1.447019429771342E-01,-3.334968814461636E-02,5.088210399383629E-04,3.172024593060863E-03
3.936029643449064E-03,2.726202153632885E-01,1.447041473131955E-01,-3.334889791674811E-02,5.049165943336872E-04,3.176376523665463E-03
3.912870956452409E-03,2.726205646238287E-01,1.447063546567858E-01,-3.334813966994621E-02,5.010276116430968E-04,3.180687153343982E-03
3.889712784929160E-03,2.726209111890750E-01,1.447085649794759E-01,-3.334741265845378E-02,4.971538256250626E-04,3.184957192279130E-03
3.866555107444697E-03,2.726212550694884E-01,1.447107782533242E-01,-3.334671616051612E-02,4.932949759941085E-04,3.189187334823214E-03
3.843397903057402E-03,2.726215962753510E-01,1.447129944508659E-01,-3.334604947745993E-02,4.894508082545727E-04,3.193378259938151E-03
3.820241151302952E-03,2.726219348167702E-01,1.447152135451022E-01,-3.334541193280299E-02,4.856210735365319E-04,3.197530631624218E-03
3.797084832179198E-03,2.726222707036826E-01,1.447174355094904E-01,-3.334480287143683E-02,4.818055284460057E-04,3.201645099327895E-03
3.773928926131620E-03,2.726226039458577E-01,1.447196603179338E-01,-3.334422165879521E-02,4.780039349057041E-04,3.205722298348462E-03
3.750773414039321E-03,2.726229345529013E-01,1.447218879447718E-01,-3.334366768011690E-02,4.742160600169393E-04,3.209762850218908E-03
3.727618277201544E-03,2.726232625342594E-01,1.447241183647708E-01,-3.334314033969252E-02,4.704416759121238E-04,3.213767363085894E-03
3.704463497324688E-03,2.726235878992216E-01,1.447263515531150E-01,-3.334263906017421E-02,4.666805596204206E-04,3.217736432071182E-03
3.681309056509793E-03,2.726239106569241E-01,1.447285874853971E-01,-3.334216328190561E-02,4.629324929347877E-04,3.221670639624036E-03
3.658154937240488E-03,2.726242308163535E-01,1.447308261376102E-01,-3.334171246227382E-02,4.591972622811155E-04,3.225570555864220E-03
3.635001122371368E-03,2.726245483863493E-01,1.447330674861389E-01,-3.334128607510524E-02,4.554746585961655E-04,3.229436738910866E-03
3.611847595116793E-03,2.726248633756078E-01,1.447353115077512E-01,-3.334088361006721E-02,4.517644772033306E-04,3.233269735205554E-03
3.588694339040080E-03,2.726251757926844E-01,1.447375581795906E-01,-3.334050457212272E-02,4.480665177006275E-04,3.237070079819503E-03
3.565541338043081E-03,2.726254856459970E-01,1.447398074791683E-01,-3.334014848096876E-02,4.443805838401097E-04,3.240838296759701E-03
3.542388576356128E-03,2.726257929438284E-01,1.447420593843554E-01,-3.333981487054275E-02,4.407064834247180E-04,3.244574899256258E-03
3.519236038528324E-03,2.726260976943296E-01,1.447443138733759E-01,-3.333950328851179E-02,4.370440281966038E-04,3.248280390048897E-03
3.496083709418178E-03,2.726263999055220E-01,1.447465709247990E-01,-3.333921329580632E-02,4.333930337361274E-04,3.251955261659896E-03
3.472931574184549E-03,2.726266995853005E-01,1.447488305175328E-01,-3.333894446616523E-02,4.297533193615455E-04,3.255599996660342E-03
3.449779618277918E-03,2.726269967414355E-01,1.447510926308167E-01,-3.333869638569249E-02,4.261247080294317E-04,3.259215067929747E-03
3.426627827431940E-03,2.726272913815761E-01,1.447533572442154E-01,-3.333846865245279E-02,4.225070262449456E-04,3.262800938903693E-03
3.403476187655287E-03,2.726275835132518E-01,1.447556243376119E-01,-3.333826087605089E-02,4.189001039641509E-04,3.266358063820398E-03
3.380324685223767E-03,2.726278731438754E-01,1.447578938912018E-01,-3.333807267726638E-02,4.153037745119746E-04,3.269886887952476E-03
3.357173306672701E-03,2.726281602807451E-01,1.447601658854866E-01,-3.333790368766379E-02,4.117178744895709E-04,3.273387847839245E-03
3.334022038789554E-03,2.726284449310467E-01,1.447624403012678E-01,-3.333775354925478E-02,4.081422436967571E-04,3.276861371505267E-03
3.310870868606805E-03,2.726287271018559E-01,1.447647171196415E-01,-3.333762191414402E-02,4.045767250467349E-04,3.280307878677896E-03
3.287719783400045E-03,2.726290067994556E-01,1.447669963226509E-01,-3.333750844916209E-02,4.010211672116175E-04,3.283727773718607E-03
3.264568770657930E-03,2.726292840320789E-01,1.447692778906412E-01,-3.333741281564176E-02,3.974754136167458E-04,3.287121475041658E-03
3.241417818115959E-03,2.726295588057971E-01,1.447715618062216E-01,-3.333733469910845E-02,3.939393188216896E-04,3.290489371320755E-03
3.218266913719907E-03,2.726298311272660E-01,1.447738480516096E-01,-3.333727378890371E-02,3.904127374370779E-04,3.293831851119287E-03
3.195116045628237E-03,2.726301010030417E-01,1.447761366092901E-01,-3.333722978294410E-02,3.868955268163817E-04,3.297149295688364E-03
3.171965202206234E-03,2.726303684395819E-01,1.447784274620102E-01,-3.333720238746211E-02,3.833875469919408E-04,3.300442079145360E-03
3.148814372020333E-03,2.726306334432482E-01,1.447807205927744E-01,-3.333719131673234E-02,3.798886606039934E-04,3.303710568651042E-03
3.125663543832613E-03,2.726308960203076E-01,1.447830159848397E-01,-3.333719629283705E-02,3.763987328423072E-04,3.306955124577299E-03
3.102512706595467E-03,2.726311561769346E-01,1.447853136217111E-01,-3.333721704541082E-02,3.729176313786310E-04,3.310176100674351E-03
