x,y,z,vx,vy,vz
3.889673998184379E-03,2.726209214797213E-01,1.447085401633705E-01,-3.334790577715578E-02,4.973600508503977E-04,3.184376044158560E-03
3.866515974796242E-03,2.726212655262982E-01,1.447107530074275E-01,-3.334720763425573E-02,4.935029835639708E-04,3.188601197913319E-03
3.843358425829653E-03,2.726216068994748E-01,1.447129687719470E-01,-3.334653927898035E-02,4.896605916136844E-04,3.192787152876026E-03
3.820201330835157E-03,2.726219456093555E-01,1.447151874299390E-01,-3.334590003526150E-02,4.858326262748031E-04,3.196934572640182E-03
3.797044669825316E-03,2.726222816658738E-01,1.447174089548697E-01,-3.334528924838803E-02,4.820188442962134E-04,3.201044106251988E-03
3.773888423260167E-03,2.726226150787963E-01,1.447196333206508E-01,-3.334470628417492E-02,4.782190077412089E-04,3.205116388616842E-03
3.750732572033229E-03,2.726229458577259E-01,1.447218605016303E-01,-3.334415052822663E-02,4.744328838494547E-04,3.209152040880095E-03
3.727577097458021E-03,2.726232740121060E-01,1.447240904725826E-01,-3.334362138518449E-02,4.706602448895256E-04,3.213151670806902E-03
3.704421981255085E-03,2.726235995512232E-01,1.447263232087000E-01,-3.334311827803693E-02,4.669008680246039E-04,3.217115873143526E-03
3.681267205539479E-03,2.726239224842112E-01,1.447285586855831E-01,-3.334264064744997E-02,4.631545351795682E-04,3.221045229969605E-03
3.658112752808729E-03,2.726242428200539E-01,1.447307968792324E-01,-3.334218795111966E-02,4.594210329101726E-04,3.224940311041042E-03
3.634958605931211E-03,2.726245605675885E-01,1.447330377660401E-01,-3.334175966316839E-02,4.557001522810327E-04,3.228801674118736E-03
3.611804748134959E-03,2.726248757355085E-01,1.447352813227814E-01,-3.334135527354700E-02,4.519916887414247E-04,3.232629865291560E-03
3.588651162996857E-03,2.726251883323672E-01,1.447375275266069E-01,-3.334097428748989E-02,4.482954420133264E-04,3.236425419283404E-03
3.565497834432226E-03,2.726254983665798E-01,1.447397763550348E-01,-3.334061622495380E-02,4.446112159708650E-04,3.240188859759224E-03
3.542344746684776E-03,2.726258058464272E-01,1.447420277859429E-01,-3.334028062012459E-02,4.409388185372157E-04,3.243920699612249E-03
3.519191884316893E-03,2.726261107800579E-01,1.447442817975617E-01,-3.333996702090695E-02,4.372780615729616E-04,3.247621441250373E-03
3.496039232200287E-03,2.726264131754912E-01,1.447465383684670E-01,-3.333967498845830E-02,4.336287607751344E-04,3.251291576868984E-03
3.472886775506942E-03,2.726267130406199E-01,1.447487974775728E-01,-3.333940409673436E-02,4.299907355769414E-04,3.254931588717097E-03
3.449734499700382E-03,2.726270103832125E-01,1.447510591041250E-01,-3.333915393204603E-02,4.263638090482235E-04,3.258541949356878E-03
3.426582390527236E-03,2.726273052109159E-01,1.447533232276938E-01,-3.333892409265535E-02,4.227478078057658E-04,3.262123121911160E-03
3.403430434009086E-03,2.726275975312577E-01,1.447555898281682E-01,-3.333871418835517E-02,4.191425619156490E-04,3.265675560309931E-03
3.380278616434585E-03,2.726278873516488E-01,1.447578588857493E-01,-3.333852384010423E-02,4.155479048112508E-04,3.269199709521959E-03
3.357126924351838E-03,2.726281746793857E-01,1.447601303809440E-01,-3.333835267963745E-02,4.119636732006410E-04,3.272696005787031E-03
3.333975344561042E-03,2.726284595216523E-01,1.447624042945591E-01,-3.333820034912848E-02,4.083897069890577E-04,3.276164876834367E-03
3.310823864107357E-03,2.726287418855226E-01,1.447646806076958E-01,-3.333806650083577E-02,4.048258491936609E-04,3.279606742100081E-03
3.287672470279466E-03,2.726290217772783E-01,1.447669593024014E-01,-3.333795080172996E-02,4.012719485881171E-04,3.283022005661231E-03
3.264521150577694E-03,2.726292992051501E-01,1.447692403590277E-01,-3.333785291329353E-02,3.977278487008889E-04,3.286411085643043E-03
3.241369892750548E-03,2.726295741752081E-01,1.447715237601875E-01,-3.333777252117671E-02,3.941934041903175E-04,3.289774370442611E-03
3.218218684756313E-03,2.726298466941067E-01,1.447738094881029E-01,-3.333770931484438E-02,3.906684697654822E-04,3.293112248347544E-03
3.195067514765929E-03,2.726301167684003E-01,1.447760975252633E-01,-3.333766299232935E-02,3.871529028770075E-04,3.296425100336817E-03
