time_tag_seconds,record_time,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,ref_freq_band_id,full_ref_freq,ref_freq_int,ref_freq_frac,data_type_id,data_validity,format_id
1898862636,2010-03-04 13:50:36,468397.434459686,468397,434459686,26,0,2,2299812417.0,137079,8424936,11,0,2
1898862696,2010-03-04 13:51:36,468425.708115578,468425,708115578,26,0,2,2299812417.0,137079,8424936,11,0,2
1898862756,2010-03-04 13:52:36,468451.753824234,468451,753824234,26,0,2,2299812417.0,137079,8424936,11,0,2
1898862816,2010-03-04 13:53:36,468476.025200844,468476,25200844,26,0,2,2299812417.0,137079,8424936,11,0,2
1898862876,2010-03-04 13:54:36,468498.814490318,468498,814490318,26,0,2,2299812417.0,137079,8424936,11,0,2
1898862936,2010-03-04 13:55:36,468520.461531639,468520,461531639,26,0,2,2299812417.0,137079,8424936,11,0,2
1898862996,2010-03-04 13:56:36,468541.322483063,468541,322483063,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863056,2010-03-04 13:57:36,468561.552963257,468561,552963257,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863116,2010-03-04 13:58:36,468581.380866051,468581,380866051,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863176,2010-03-04 13:59:36,468600.758116722,468600,758116722,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863236,2010-03-04 14:00:36,468619.982626915,468619,982626915,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863296,2010-03-04 14:01:36,468638.94998455,468638,949984550,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863356,2010-03-04 14:02:36,468657.802653313,468657,802653313,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863416,2010-03-04 14:03:36,468676.676341057,468676,676341057,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863476,2010-03-04 14:04:36,468695.431995392,468695,431995392,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863536,2010-03-04 14:05:36,468714.046506882,468714,46506882,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863596,2010-03-04 14:06:36,468732.744885445,468732,744885445,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863656,2010-03-04 14:07:36,468751.342488289,468751,342488289,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863716,2010-03-04 14:08:36,468769.882519722,468769,882519722,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863776,2010-03-04 14:09:36,468788.440296173,468788,440296173,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863836,2010-03-04 14:10:36,468806.998305321,468806,998305321,26,0,2,2299812417.0,137079,8424936,11,0,2
1898863896,2010-03-04 14:11:36,468825.713101387,468825,713101387,26,0,2,2299812417.0,137079,8424936,11,0,2
