time_tag_seconds,record_time,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,ref_freq_band_id,full_ref_freq,ref_freq_int,ref_freq_frac,data_type_id,data_validity,format_id
1956814082,2012-01-04 07:28:02,673938.517162323,673938,517162323,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814087,2012-01-04 07:28:07,673939.715578079,673939,715578079,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814092,2012-01-04 07:28:12,673940.81480217,673940,814802170,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814097,2012-01-04 07:28:17,673941.968055725,673941,968055725,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814102,2012-01-04 07:28:22,673943.02841568,673943,28415680,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814107,2012-01-04 07:28:27,673944.10392189,673944,103921890,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814112,2012-01-04 07:28:32,673945.152210236,673945,152210236,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814117,2012-01-04 07:28:37,673946.298480034,673946,298480034,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814122,2012-01-04 07:28:42,673947.426352501,673947,426352501,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814127,2012-01-04 07:28:47,673948.576381683,673948,576381683,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814132,2012-01-04 07:28:52,673949.673363686,673949,673363686,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814137,2012-01-04 07:28:57,673950.884016991,673950,884016991,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814142,2012-01-04 07:29:02,673952.070144653,673952,70144653,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814147,2012-01-04 07:29:07,673953.168038368,673953,168038368,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814152,2012-01-04 07:29:12,673954.289453506,673954,289453506,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814157,2012-01-04 07:29:17,673955.441011429,673955,441011429,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814162,2012-01-04 07:29:22,673956.573237419,673956,573237419,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814167,2012-01-04 07:29:27,673957.758709908,673957,758709908,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814172,2012-01-04 07:29:32,673958.923501968,673958,923501968,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814177,2012-01-04 07:29:37,673960.031291008,673960,31291008,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814182,2012-01-04 07:29:42,673961.179759026,673961,179759026,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814187,2012-01-04 07:29:47,673962.385099411,673962,385099411,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814192,2012-01-04 07:29:52,673963.501681328,673963,501681328,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814197,2012-01-04 07:29:57,673964.594436646,673964,594436646,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814202,2012-01-04 07:30:02,673965.76233387,673965,762333870,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814207,2012-01-04 07:30:07,673966.932006836,673966,932006836,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814212,2012-01-04 07:30:12,673968.100534439,673968,100534439,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814217,2012-01-04 07:30:17,673969.201370239,673969,201370239,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814222,2012-01-04 07:30:22,673970.367972374,673970,367972374,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814227,2012-01-04 07:30:27,673971.573908806,673971,573908806,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814232,2012-01-04 07:30:32,673972.747175217,673972,747175217,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814237,2012-01-04 07:30:37,673973.870227814,673973,870227814,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814242,2012-01-04 07:30:42,673975.010584831,673975,10584831,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814247,2012-01-04 07:30:47,673976.205073357,673976,205073357,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814252,2012-01-04 07:30:52,673977.356899261,673977,356899261,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814257,2012-01-04 07:30:57,673978.486123085,673978,486123085,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814262,2012-01-04 07:31:02,673979.707417488,673979,707417488,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814267,2012-01-04 07:31:07,673980.870896339,673980,870896339,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814272,2012-01-04 07:31:12,673982.018342018,673982,18342018,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814277,2012-01-04 07:31:17,673983.238311768,673983,238311768,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814282,2012-01-04 07:31:22,673984.448098183,673984,448098183,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814287,2012-01-04 07:31:27,673985.679432869,673985,679432869,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814292,2012-01-04 07:31:32,673986.844321251,673986,844321251,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814297,2012-01-04 07:31:37,673988.063511848,673988,63511848,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814302,2012-01-04 07:31:42,673989.312897682,673989,312897682,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814307,2012-01-04 07:31:47,673990.519422531,673990,519422531,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814312,2012-01-04 07:31:52,673991.715858459,673991,715858459,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814317,2012-01-04 07:31:57,673992.929632187,673992,929632187,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814322,2012-01-04 07:32:02,673994.206580162,673994,206580162,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814327,2012-01-04 07:32:07,673995.404099464,673995,404099464,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814332,2012-01-04 07:32:12,673996.653991699,673996,653991699,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814337,2012-01-04 07:32:17,673997.841737747,673997,841737747,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814342,2012-01-04 07:32:22,673999.037796974,673999,37796974,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814347,2012-01-04 07:32:27,674000.263314247,674000,263314247,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814352,2012-01-04 07:32:32,674001.422625542,674001,422625542,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814357,2012-01-04 07:32:37,674002.69246006,674002,692460060,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814362,2012-01-04 07:32:42,674003.978146553,674003,978146553,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814367,2012-01-04 07:32:47,674005.220142365,674005,220142365,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814372,2012-01-04 07:32:52,674006.425287247,674006,425287247,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814377,2012-01-04 07:32:57,674007.66968441,674007,669684410,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814382,2012-01-04 07:33:02,674008.857632637,674008,857632637,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814387,2012-01-04 07:33:07,674010.098692894,674010,98692894,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814392,2012-01-04 07:33:12,674011.498235703,674011,498235703,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814397,2012-01-04 07:33:17,674012.626286507,674012,626286507,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814402,2012-01-04 07:33:22,674013.924715042,674013,924715042,55,0,2,2299809660.0,137079,5667936,11,0,2
1956814407,2012-01-04 07:33:27,674015.236803055,674015,236803055,55,0,2,2299809660.0,137079,5667936,11,0,2
