time_tag_seconds,record_time,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,ref_freq_band_id,full_ref_freq,ref_freq_int,ref_freq_frac,data_type_id,data_validity,format_id
1862300495,2009-01-05 09:41:35,-322947.296236991,-322947,-296236991,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300500,2009-01-05 09:41:40,-322945.479806899,-322945,-479806899,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300505,2009-01-05 09:41:45,-322943.699447631,-322943,-699447631,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300515,2009-01-05 09:41:55,-322940.09235382,-322940,-92353820,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300525,2009-01-05 09:42:05,-322936.5761137,-322936,-576113700,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300535,2009-01-05 09:42:15,-322933.006954192,-322933,-6954192,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300545,2009-01-05 09:42:25,-322929.463391303,-322929,-463391303,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300555,2009-01-05 09:42:35,-322926.005396842,-322926,-5396842,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300560,2009-01-05 09:42:40,-322924.239403724,-322924,-239403724,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300565,2009-01-05 09:42:45,-322922.412620543,-322922,-412620543,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300575,2009-01-05 09:42:55,-322919.006399154,-322919,-6399154,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300585,2009-01-05 09:43:05,-322915.541662215,-322915,-541662215,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300595,2009-01-05 09:43:15,-322911.989974975,-322911,-989974975,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300605,2009-01-05 09:43:25,-322908.56020832,-322908,-560208320,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300615,2009-01-05 09:43:35,-322905.091381072,-322905,-91381072,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300620,2009-01-05 09:43:40,-322903.346683501,-322903,-346683501,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300625,2009-01-05 09:43:45,-322901.568640708,-322901,-568640708,63,0,2,2299812417.0,137079,8424936,11,0,2
