1993302918.5,2013-Mar-0115:15:18.5000,-3.018821453042353E-01,1.391822585213180E-01,1.057004435197250E-01,-1.976164375594626E-02,-2.167624833970462E-02,-8.322284174151965E-03
1993302978.5,2013-Mar-0115:16:18.5000,-3.018958725052073E-01,1.391672046159682E-01,1.056946672299564E-01,-1.977275683810890E-02,-2.167899392672403E-02,-8.313423019700826E-03
1993303098.5,2013-Mar-0115:17:18.5000,-3.019096075540542E-01,1.391521488150397E-01,1.056888971086898E-01,-1.978424813337124E-02,-2.168170706668364E-02,-8.304519434758630E-03
1993303158.5,2013-Mar-0115:18:18.5000,-3.019233507187133E-01,1.391370911422207E-01,1.056831331841989E-01,-1.979613300062408E-02,-2.168438438556170E-02,-8.295576929477463E-03
1993303218.5,2013-Mar-0115:19:18.5000,-3.019371022780548E-01,1.391220316236418E-01,1.056773754821550E-01,-1.980842757392573E-02,-2.168702221921086E-02,-8.286599495458631E-03
1993303278.5,2013-Mar-0115:20:18.5000,-3.019508625224338E-01,1.391069702880864E-01,1.056716240252750E-01,-1.982114880475361E-02,-2.168961658698811E-02,-8.277591658799124E-03
1993303338.5,2013-Mar-0115:21:18.5000,-3.019646317542744E-01,1.390919071672201E-01,1.056658788329308E-01,-1.983431450617052E-02,-2.169216316279600E-02,-8.268558539082345E-03
1993303398.5,2013-Mar-0115:22:18.5000,-3.019784102886830E-01,1.390768422958421E-01,1.056601399207135E-01,-1.984794339880357E-02,-2.169465724325858E-02,-8.259505915044821E-03
1993303458.5,2013-Mar-0115:23:18.5000,-3.019921984540954E-01,1.390617757121590E-01,1.056544072999517E-01,-1.986205515862239E-02,-2.169709371274796E-02,-8.250440297650274E-03
1993303518.5,2013-Mar-0115:24:18.5000,-3.020059965929572E-01,1.390467074580839E-01,1.056486809771748E-01,-1.987667046631614E-02,-2.169946700492566E-02,-8.241369011484761E-03
1993303578.5,2013-Mar-0115:25:18.5000,-3.020198050624391E-01,1.390316375795639E-01,1.056429609535175E-01,-1.989181105808622E-02,-2.170177106044403E-02,-8.232300285437956E-03
1993303638.5,2013-Mar-0115:26:18.5000,-3.020336242351880E-01,1.390165661269388E-01,1.056372472240566E-01,-1.990749977755692E-02,-2.170399928041122E-02,-8.223243353771972E-03
1993303698.5,2013-Mar-0115:27:18.5000,-3.020474545001142E-01,1.390014931553328E-01,1.056315397770757E-01,-1.992376062844363E-02,-2.170614447519088E-02,-8.214208568787696E-03
1993303758.5,2013-Mar-0115:28:18.5000,-3.020612962632150E-01,1.389864187250840E-01,1.056258385932443E-01,-1.994061882740019E-02,-2.170819880805794E-02,-8.205207526494493E-03
1993303818.5,2013-Mar-0115:29:18.5000,-3.020751499484361E-01,1.389713429022155E-01,1.056201436447076E-01,-1.995810085646756E-02,-2.171015373320468E-02,-8.196253206754853E-03
1993303898.5,2013-Mar-0115:30:18.5000,-3.020890159985674E-01,1.389562657589505E-01,1.056144548940716E-01,-1.997623451420933E-02,-2.171199992753469E-02,-8.187360129637992E-03
